"id","addtime","title","nickname","imgurl","duration","ratio","collectcount","commentcount","diggcount","sharecount","cjtime","detailurl"
"41","2025-03-08 19:45:09","最新服装带货主播话术（2）。服装带货话术流程，直播脚本#服装带货话术 #直播脚本 #直播话术 #主播培训 #云谷学社","静盛汇主播资料库","https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/827810ecf2f142e08ea5e895369a1aee~noop.jpeg?biz_tag=pcweb_cover&card_type=303&column_n=0&from=327834062&l=20250308194506B9FAFA766F3796DF18FD&lk3s=138a59ce&s=PackSourceEnum_SEARCH&se=false&x-expires=1742641200&x-signature=6hocVCO4L5iJspcQoKkRHORzd20%3D","0","default","1112","7","1800","621","2024-11-07 11:16:44","https://www.douyin.com/video/7434370395085606185"
"42","2025-03-08 19:45:09","保姆级别教程\
#努力的服装人 #童装创业 #创业vlog #干货分享 #上热门 @抖音小助手 @抖音热点宝 @抖音创作者中心","哈哈童装批发（创业版）","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/a5c47117d8131724e58fc671eccc08b7~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=20250308194506B9FAFA766F3796DF18FD&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=X6kpUECGQCqlI4OIcsXTgtBpucM%3D","90185","720p","2184","360","2862","1077","2024-03-29 22:24:58","https://www.douyin.com/video/7351791253052312842"
"43","2025-03-08 19:45:09","关于直播卖女装的一些真实想法～#女装直播","可口可可","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/1c3cc17c39ed276d2fd55f920e1f0054~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=20250308194506B9FAFA766F3796DF18FD&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=aZEYwUMci1kbqz16a%2BqBE4bQ3Dw%3D","167700","720p","53","71","369","101","2024-12-21 20:23:36","https://www.douyin.com/video/7450839694767574332"
"44","2025-03-08 19:45:09","这个视频献给中国服装行业的创业者们，请你一定要看完，建议收藏观看 #服装行业 #实体经济 #短视频直播 #张琦 #商业思维 #老板 #创业者","张琦大大商业咨询","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/2af8e4d465844f02b8991a1f5bb1832f~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=20250308194506B9FAFA766F3796DF18FD&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=fOkP%2BxeHV1u5iRfnGXl5bqYerwc%3D","540770","1080p","36188","75","167042","40802","2022-10-18 14:36:46","https://www.douyin.com/video/7155737572038184200"
"45","2025-03-08 19:45:09","卖男装的就得要这样种草，男人就两点拿下！一好色 二好面 让他穿上这样子的卫衣有面子 而且女人还喜欢他 完蛋啦！拿下拿下！     #服装直播 #种草话术","陈希希达人主播培训（广州3.9开课）","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/34045c00fd7f498c81182fa3e938377b~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=20250308194506B9FAFA766F3796DF18FD&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=LFS1yTu6Z1nXknt8HMRgyXT24NU%3D","159367","1080p","336","5","549","195","2024-10-13 22:48:48","https://www.douyin.com/video/7425272232609320207"
"46","2025-03-08 19:45:24","正在直播中..... #穿出高级感 #保暖又好看 #谁穿谁好看 #简约大气 #品质女装","灵子的私服","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/89d7428785e7f0192b5490a91d41ce8c~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=2025030819452390DC88C7F04122E1CC5F&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=T9kI4ZP1bccGWmzUc0u8zIbggIY%3D","12000","1080p","166","213","615","126","2023-12-27 23:32:30","https://www.douyin.com/video/7317297187183021364"
"47","2025-03-08 19:45:24","UR正在直播中~#约会穿搭必备#女装测评#韩系穿搭vlog#这么穿显瘦20斤 #我定义了我自己","URBAN REVIVO官方旗舰店","https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/685b62424b35e1e694c0c24681c5ae1f~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=2025030819452390DC88C7F04122E1CC5F&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=YHFNygNSd23M0%2Bx%2Fn8eGoRCwOjk%3D","17900","1080p","1705","768","13081","1769","2022-07-10 19:33:42","https://www.douyin.com/video/7118705541152640293"
"48","2025-03-08 19:45:24","有喜欢视频同款卫衣的姐妹，可以点头像进直播间，大量秋冬新款上新啦#女装 #秋冬新款 #美出高级感 #穿出高级感 #谁穿谁好看","衣诗恋女装","https://p9-pc-sign.douyinpic.com/image-cut-tos-priv/34c08348ed5f75b8e3019749d678d673~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=2025030819452390DC88C7F04122E1CC5F&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=wHhH4eceJa2bmy5cNcihXO7Nh2g%3D","111687","1080p","299","38","1003","42","2024-10-24 17:51:28","https://www.douyin.com/video/7429277537416547643"
"49","2025-03-08 19:45:24","正在直播中~~请各位姐姐进来看看！！ #春款上新 #开春搭配 #春季新款 #女人味十足 #品质女装","哗朵朵精品女装","https://p9-pc-sign.douyinpic.com/image-cut-tos-priv/fdb07a8fac8431b305714ec97bbcb206~tplv-dy-resize-origshort-autoq-75:330.jpeg?biz_tag=pcweb_cover&card_type=153&column_n=0&from=327834062&l=2025030819452390DC88C7F04122E1CC5F&lk3s=138a59ce&s=PackSourceEnum_SEARCH&sc=cover&se=false&x-expires=2056791600&x-signature=n9l4lPb%2BYRfopLEo0Raa5F5MCgA%3D","7408","720p","0","0","2","0","2025-03-06 21:30:00","https://www.douyin.com/video/7478389952741428521"
"50","2025-03-08 19:45:24","我要直播啦，三点:three_o’clock:10分直播间不见不散","INS品牌赛格四楼名媛女装丶","https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/owzP1EbQSIIoAAjDzjARAAMiB8nvZA0WiyAPL~noop.jpeg?biz_tag=pcweb_cover&card_type=303&column_n=0&from=327834062&l=2025030819452390DC88C7F04122E1CC5F&lk3s=138a59ce&s=PackSourceEnum_SEARCH&se=false&x-expires=1742641200&x-signature=K5A5PRhnsL%2FGdWxGkb%2BMlFZKJ0s%3D","0","default","0","0","1","0","2025-03-08 13:11:59","https://www.douyin.com/video/7479302001730342196"
